id,group,key,scope,text
VOX_ORD_WITNESS_02,ORD,WITNESS,crew,"He saw nothing. He'll remember that."
VOX_ORD_INSIDE_01,ORD,INSIDE,crew,"Inside, off the street."
VOX_ORD_INSIDE_02,ORD,INSIDE,crew,"We'll sit this one out indoors."
VOX_ORD_OUTSIDE_01,ORD,OUTSIDE,crew,"Back on the street."
VOX_ORD_OUTSIDE_02,ORD,OUTSIDE,crew,"We're coming out."
VOX_RKT_APPROACH_01,RKT,APPROACH,crew,"We'll pay him a visit."
VOX_RKT_APPROACH_02,RKT,APPROACH,crew,"Walking up to his door now."
VOX_RKT_DEMAND_01,RKT,DEMAND,crew,"Time he paid for the neighborhood."
VOX_RKT_DEMAND_02,RKT,DEMAND,crew,"We'll make him the offer."
VOX_RKT_THREAT_01,RKT,THREAT,crew,"He'll listen this time."
VOX_RKT_THREAT_02,RKT,THREAT,crew,"We'll lean on him a little."
VOX_RKT_COLLECT_01,RKT,COLLECT,crew,"Time to collect."
VOX_RKT_COLLECT_02,RKT,COLLECT,crew,"Walking the round, boss."
VOX_RKT_SHAKE_01,RKT,SHAKE,crew,"We'll work the whole block."
VOX_RKT_SHAKE_02,RKT,SHAKE,crew,"Door to door, every one of them."
VOX_RKT_HOLDOUT_01,RKT,HOLDOUT,crew,"The stubborn ones get a visit."
VOX_RKT_HOLDOUT_02,RKT,HOLDOUT,crew,"We'll change their minds."
VOX_RKT_SMASH_01,RKT,SMASH,crew,"We'll wreck the place."
VOX_RKT_SMASH_02,RKT,SMASH,crew,"Break everything in there."
VOX_RKT_TORCH_01,RKT,TORCH,crew,"It burns tonight."
VOX_RKT_TORCH_02,RKT,TORCH,crew,"Bring the gasoline."
VOX_RKT_ROB_01,RKT,ROB,crew,"We'll clean out the register."
VOX_RKT_ROB_02,RKT,ROB,crew,"In and out with the cash."
VOX_RKT_GUARD_01,RKT,GUARD,crew,"We'll sit on it."
VOX_RKT_GUARD_02,RKT,GUARD,crew,"Nobody touches the place."
VOX_RKT_BUY_01,RKT,BUY,office,"The papers get signed today."
VOX_RKT_REPAIR_01,RKT,REPAIR,office,"Glass and paint, it's covered."
VOX_RKT_HIDEOUT_01,RKT,HIDEOUT,office,"This is where we go to ground."
VOX_RKT_HIDEOUT_02,RKT,HIDEOUT,office,"We don't run here any more."
VOX_JOB_EXTORT_01,JOB,EXTORT,office,"We'll put them on the payroll."
VOX_JOB_INTIMIDATE_01,JOB,INTIMIDATE,office,"They'll learn who runs this street."
VOX_JOB_COLLECTPROTECTION_01,JOB,COLLECTPROTECTION,office,"We'll bring the money home."
VOX_JOB_ADJUSTPROTECTION_01,JOB,ADJUSTPROTECTION,office,"New price, starting this week."
VOX_JOB_ASSAULT_01,JOB,ASSAULT,office,"Somebody gets hurt today."
VOX_JOB_SMASHUP_01,JOB,SMASHUP,office,"There'll be nothing left standing."
VOX_JOB_RAID_01,JOB,RAID,office,"We go in heavy."
VOX_JOB_TORCH_01,JOB,TORCH,office,"We'll leave it burning."
VOX_JOB_BOMB_01,JOB,BOMB,office,"It goes up tonight."
VOX_JOB_KILL_01,JOB,KILL,office,"He won't see next week."
VOX_JOB_KIDNAP_01,JOB,KIDNAP,office,"We'll take him quiet."
VOX_JOB_PATROL_01,JOB,PATROL,office,"We'll walk the streets, keep them ours."
VOX_JOB_GUARD_01,JOB,GUARD,office,"Nothing happens on our watch."
VOX_JOB_AMBUSH_01,JOB,AMBUSH,office,"We'll be waiting for them."
VOX_JOB_EXPLORE_01,JOB,EXPLORE,office,"We'll go see what's over there."
VOX_JOB_BUYPREMISES_01,JOB,BUYPREMISES,office,"We'll buy the whole building."
VOX_JOB_SETUPBUSINESS_01,JOB,SETUPBUSINESS,office,"We'll open it up ourselves."
VOX_JOB_RUNBUSINESS_01,JOB,RUNBUSINESS,office,"The place runs, we take our cut."
VOX_JOB_AUDIT_01,JOB,AUDIT,office,"I'll go through the books."
VOX_JOB_RECRUIT_01,JOB,RECRUIT,office,"I know a few guys."
VOX_JOB_BRIBE_01,JOB,BRIBE,office,"Everybody's got a price."
VOX_JOB_EMPLOYPOLICE_01,JOB,EMPLOYPOLICE,office,"We'll buy a badge or two."
VOX_JOB_DONATE_01,JOB,DONATE,office,"A little goodwill never hurt."
VOX_NO_GENERIC_01,NO,GENERIC,crew,"Can't do that, boss."
VOX_NO_GENERIC_02,NO,GENERIC,crew,"Not from here."
VOX_NO_GENERIC_03,NO,GENERIC,crew,"No chance."
VOX_NO_ARMS_01,NO,ARMS,crew,"We got nothing to do it with."
VOX_NO_REACH_01,NO,REACH,crew,"We can't get to him."
VOX_NO_MEN_01,NO,MEN,crew,"There's nobody left to send."
VOX_HIT_TAKE_01,HIT,TAKE,crew,"Agh!"
VOX_HIT_TAKE_02,HIT,TAKE,crew,"Unh! Damn it!"
VOX_HIT_TAKE_03,HIT,TAKE,crew,"I'm hit!"
VOX_HIT_TAKE_04,HIT,TAKE,crew,"He got me!"
VOX_HIT_TAKE_05,HIT,TAKE,crew,"Son of a bitch!"
VOX_HIT_TAKE_06,HIT,TAKE,crew,"Agh! That's blood!"
VOX_HIT_BAD_01,HIT,BAD,crew,"I'm bleeding bad!"
VOX_HIT_BAD_02,HIT,BAD,crew,"I can't take another one!"
VOX_HIT_BAD_03,HIT,BAD,crew,"I'm hurt, I'm hurt bad!"
VOX_DOWN_CRY_01,DOWN,CRY,crew,"Aaagh!"
VOX_DOWN_CRY_02,DOWN,CRY,crew,"No... not like this..."
VOX_DOWN_CRY_03,DOWN,CRY,crew,"Unh... you bastards..."
VOX_DOWN_CRY_04,DOWN,CRY,crew,"Agh... Mother of God..."
VOX_FIGHT_CURSE_01,FIGHT,CURSE,crew,"Come on, you bastards!"
VOX_FIGHT_CURSE_02,FIGHT,CURSE,crew,"Eat it!"
VOX_FIGHT_CURSE_03,FIGHT,CURSE,crew,"That all you got?"
VOX_FIGHT_CURSE_04,FIGHT,CURSE,crew,"Son of a bitch, stay down!"
VOX_FIGHT_CURSE_05,FIGHT,CURSE,crew,"You want some? Here!"
VOX_FIGHT_CURSE_06,FIGHT,CURSE,crew,"Die already!"
VOX_FIGHT_CURSE_07,FIGHT,CURSE,crew,"Damn you!"
VOX_FIGHT_CURSE_08,FIGHT,CURSE,crew,"Nowhere to run now!"
VOX_SPOT_CONTACT_01,SPOT,CONTACT,crew,"They're on us!"
VOX_SPOT_CONTACT_02,SPOT,CONTACT,crew,"Guns! Get down!"
VOX_SPOT_CONTACT_03,SPOT,CONTACT,crew,"We got company!"
VOX_SPOT_CONTACT_04,SPOT,CONTACT,crew,"Over there! Shooters!"
VOX_DROP_GOT_01,DROP,GOT,crew,"He's down!"
VOX_DROP_GOT_02,DROP,GOT,crew,"Got him!"
VOX_DROP_GOT_03,DROP,GOT,crew,"That's one."
VOX_DROP_GOT_04,DROP,GOT,crew,"Finished. Next."
VOX_LOSS_MAN_01,LOSS,MAN,crew,"They got him!"
VOX_LOSS_MAN_02,LOSS,MAN,crew,"He's down! He's down!"
VOX_LOSS_MAN_03,LOSS,MAN,crew,"We lost one!"
VOX_LOSS_MAN_04,LOSS,MAN,crew,"Bastards killed him!"
VOX_PIN_HELD_01,PIN,HELD,crew,"We're pinned!"
VOX_PIN_HELD_02,PIN,HELD,crew,"Too much fire!"
VOX_PIN_HELD_03,PIN,HELD,crew,"Keep your head down!"
VOX_WARN_CALL_01,WARN,CALL,crew,"Grenade!"
VOX_WARN_CALL_02,WARN,CALL,crew,"Take cover!"
VOX_WARN_CALL_03,WARN,CALL,crew,"Look out!"
VOX_SURR_HANDS_01,SURR,HANDS,crew,"Don't shoot! Don't shoot!"
VOX_SURR_HANDS_02,SURR,HANDS,crew,"We're done! Hands up!"
VOX_SURR_HANDS_03,SURR,HANDS,crew,"All right, all right! You got us!"
VOX_LAW_HEAT_01,LAW,HEAT,crew,"Cops!"
VOX_LAW_HEAT_02,LAW,HEAT,crew,"The law! Move!"
VOX_LAW_HEAT_03,LAW,HEAT,crew,"Heat's here! Break it off!"
VOX_WIN_OVER_01,WIN,OVER,crew,"That's the last of them."
VOX_WIN_OVER_02,WIN,OVER,crew,"Street's ours."
VOX_WIN_OVER_03,WIN,OVER,crew,"It's over. Let's move."
