bank,id,voice,duration,peak_dbfs,status,error
VB03,VOX_SEL_INSIDE_01,Pauly - Brooklyn Wise Guy,1.72,-2.1,ok,
VB04,VOX_SEL_INSIDE_01,Dante - Dark Mafia,1.39,-1.5,ok,
VB05,VOX_SEL_INSIDE_01,David - Deep Southern,1.39,-1.5,ok,
VB06,VOX_SEL_INSIDE_01,Antonio - Grumpy Grandpa,1.25,-1.5,ok,
VB07,VOX_SEL_INSIDE_01,Jerry B. - NY Italian,1.21,-1.5,ok,
VB08,VOX_SEL_INSIDE_01,Austin - Deep Raspy,1.21,-1.5,ok,
VB01,VOX_SEL_INSIDE_02,Tony - Tough Cocky,1.44,-1.6,ok,
VB02,VOX_SEL_INSIDE_02,Syndicate - Top G,1.25,-1.5,ok,
VB03,VOX_SEL_INSIDE_02,Pauly - Brooklyn Wise Guy,1.81,-1.5,ok,
VB04,VOX_SEL_INSIDE_02,Dante - Dark Mafia,1.76,-1.5,ok,
VB05,VOX_SEL_INSIDE_02,David - Deep Southern,1.49,-4.0,ok,
VB06,VOX_SEL_INSIDE_02,Antonio - Grumpy Grandpa,1.44,-1.5,ok,
VB07,VOX_SEL_INSIDE_02,Jerry B. - NY Italian,1.44,-1.6,ok,
VB08,VOX_SEL_INSIDE_02,Austin - Deep Raspy,1.30,-1.5,ok,
VB01,VOX_SEL_HURT_01,Tony - Tough Cocky,1.39,-1.5,ok,
VB02,VOX_SEL_HURT_01,Syndicate - Top G,1.49,-1.5,ok,
VB03,VOX_SEL_HURT_01,Pauly - Brooklyn Wise Guy,2.04,-1.7,ok,
VB04,VOX_SEL_HURT_01,Dante - Dark Mafia,2.14,-1.5,ok,
VB05,VOX_SEL_HURT_01,David - Deep Southern,1.44,-4.0,ok,
VB06,VOX_SEL_HURT_01,Antonio - Grumpy Grandpa,1.76,-1.5,ok,
VB07,VOX_SEL_HURT_01,Jerry B. - NY Italian,1.11,-1.5,ok,
VB08,VOX_SEL_HURT_01,Austin - Deep Raspy,1.49,-1.5,ok,
VB01,VOX_SEL_HURT_02,Tony - Tough Cocky,2.00,-1.5,ok,
VB02,VOX_SEL_HURT_02,Syndicate - Top G,1.72,-2.5,ok,
VB03,VOX_SEL_HURT_02,Pauly - Brooklyn Wise Guy,2.37,-1.5,ok,
VB04,VOX_SEL_HURT_02,Dante - Dark Mafia,2.23,-1.5,ok,
VB05,VOX_SEL_HURT_02,David - Deep Southern,2.04,-2.8,ok,
VB06,VOX_SEL_HURT_02,Antonio - Grumpy Grandpa,1.90,-1.5,ok,
VB07,VOX_SEL_HURT_02,Jerry B. - NY Italian,2.18,-1.5,ok,
VB08,VOX_SEL_HURT_02,Austin - Deep Raspy,1.67,-1.5,ok,
VB01,VOX_SEL_ROUND_01,Tony - Tough Cocky,1.35,-1.5,ok,
VB02,VOX_SEL_ROUND_01,Syndicate - Top G,1.21,-1.5,ok,
VB03,VOX_SEL_ROUND_01,Pauly - Brooklyn Wise Guy,1.58,-1.6,ok,
VB04,VOX_SEL_ROUND_01,Dante - Dark Mafia,1.58,-1.5,ok,
VB05,VOX_SEL_ROUND_01,David - Deep Southern,1.49,-1.8,ok,
VB06,VOX_SEL_ROUND_01,Antonio - Grumpy Grandpa,1.30,-1.9,ok,
VB07,VOX_SEL_ROUND_01,Jerry B. - NY Italian,1.35,-1.5,ok,
VB08,VOX_SEL_ROUND_01,Austin - Deep Raspy,1.39,-1.5,ok,
VB01,VOX_SEL_FEW_01,Tony - Tough Cocky,1.39,-1.6,ok,
VB02,VOX_SEL_FEW_01,Syndicate - Top G,1.21,-2.1,ok,
VB03,VOX_SEL_FEW_01,Pauly - Brooklyn Wise Guy,1.49,-4.1,ok,
VB04,VOX_SEL_FEW_01,Dante - Dark Mafia,1.35,-1.5,ok,
VB05,VOX_SEL_FEW_01,David - Deep Southern,1.25,-2.5,ok,
VB06,VOX_SEL_FEW_01,Antonio - Grumpy Grandpa,1.58,-1.5,ok,
VB07,VOX_SEL_FEW_01,Jerry B. - NY Italian,1.21,-1.5,ok,
VB08,VOX_SEL_FEW_01,Austin - Deep Raspy,1.21,-1.5,ok,
VB01,VOX_ORD_MOVE_01,Tony - Tough Cocky,0.93,-1.6,ok,
VB02,VOX_ORD_MOVE_01,Syndicate - Top G,0.74,-2.9,ok,
VB03,VOX_ORD_MOVE_01,Pauly - Brooklyn Wise Guy,1.07,-3.3,ok,
VB04,VOX_ORD_MOVE_01,Dante - Dark Mafia,0.98,-1.6,ok,
VB05,VOX_ORD_MOVE_01,David - Deep Southern,0.93,-2.5,ok,
VB06,VOX_ORD_MOVE_01,Antonio - Grumpy Grandpa,1.02,-1.5,ok,
VB07,VOX_ORD_MOVE_01,Jerry B. - NY Italian,0.93,-1.5,ok,
VB08,VOX_ORD_MOVE_01,Austin - Deep Raspy,1.02,-1.6,ok,
VB01,VOX_ORD_MOVE_02,Tony - Tough Cocky,1.02,-1.9,ok,
VB02,VOX_ORD_MOVE_02,Syndicate - Top G,0.98,-4.4,ok,
VB03,VOX_ORD_MOVE_02,Pauly - Brooklyn Wise Guy,1.35,-4.9,ok,
VB04,VOX_ORD_MOVE_02,Dante - Dark Mafia,1.11,-1.6,ok,
VB05,VOX_ORD_MOVE_02,David - Deep Southern,1.02,-3.5,ok,
VB06,VOX_ORD_MOVE_02,Antonio - Grumpy Grandpa,1.11,-1.5,ok,
VB07,VOX_ORD_MOVE_02,Jerry B. - NY Italian,0.98,-1.5,ok,
VB08,VOX_ORD_MOVE_02,Austin - Deep Raspy,0.98,-1.5,ok,
VB01,VOX_ORD_MOVE_03,Tony - Tough Cocky,0.84,-1.5,ok,
VB02,VOX_ORD_MOVE_03,Syndicate - Top G,0.60,-1.5,ok,
VB03,VOX_ORD_MOVE_03,Pauly - Brooklyn Wise Guy,0.84,-3.6,ok,
VB04,VOX_ORD_MOVE_03,Dante - Dark Mafia,0.74,-1.5,ok,
VB05,VOX_ORD_MOVE_03,David - Deep Southern,0.65,-1.5,ok,
VB06,VOX_ORD_MOVE_03,Antonio - Grumpy Grandpa,0.84,-1.5,ok,
VB07,VOX_ORD_MOVE_03,Jerry B. - NY Italian,0.79,-1.5,ok,
VB08,VOX_ORD_MOVE_03,Austin - Deep Raspy,0.74,-1.5,ok,
VB01,VOX_ORD_RUN_01,Tony - Tough Cocky,1.02,-1.5,ok,
VB02,VOX_ORD_RUN_01,Syndicate - Top G,0.88,-1.6,ok,
VB03,VOX_ORD_RUN_01,Pauly - Brooklyn Wise Guy,1.16,-1.9,ok,
VB04,VOX_ORD_RUN_01,Dante - Dark Mafia,1.35,-1.5,ok,
VB05,VOX_ORD_RUN_01,David - Deep Southern,0.98,-5.9,ok,
VB06,VOX_ORD_RUN_01,Antonio - Grumpy Grandpa,1.02,-1.5,ok,
VB07,VOX_ORD_RUN_01,Jerry B. - NY Italian,1.02,-2.6,ok,
VB08,VOX_ORD_RUN_01,Austin - Deep Raspy,1.11,-1.7,ok,
VB01,VOX_ORD_RUN_02,Tony - Tough Cocky,0.88,-1.5,ok,
VB02,VOX_ORD_RUN_02,Syndicate - Top G,0.93,-2.8,ok,
VB03,VOX_ORD_RUN_02,Pauly - Brooklyn Wise Guy,1.44,-1.9,ok,
VB04,VOX_ORD_RUN_02,Dante - Dark Mafia,1.07,-1.5,ok,
VB05,VOX_ORD_RUN_02,David - Deep Southern,0.93,-3.0,ok,
VB06,VOX_ORD_RUN_02,Antonio - Grumpy Grandpa,1.25,-1.7,ok,
VB07,VOX_ORD_RUN_02,Jerry B. - NY Italian,0.93,-1.6,ok,
VB08,VOX_ORD_RUN_02,Austin - Deep Raspy,0.93,-1.5,ok,
VB01,VOX_ORD_RUN_03,Tony - Tough Cocky,0.98,-1.5,ok,
VB02,VOX_ORD_RUN_03,Syndicate - Top G,1.02,-1.5,ok,
VB03,VOX_ORD_RUN_03,Pauly - Brooklyn Wise Guy,1.25,-3.2,ok,
VB04,VOX_ORD_RUN_03,Dante - Dark Mafia,1.30,-1.5,ok,
VB05,VOX_ORD_RUN_03,David - Deep Southern,1.21,-4.1,ok,
VB06,VOX_ORD_RUN_03,Antonio - Grumpy Grandpa,1.44,-1.5,ok,
VB07,VOX_ORD_RUN_03,Jerry B. - NY Italian,1.07,-1.5,ok,
VB08,VOX_ORD_RUN_03,Austin - Deep Raspy,1.02,-1.5,ok,
VB01,VOX_ORD_COVER_01,Tony - Tough Cocky,1.39,-1.5,ok,
VB02,VOX_ORD_COVER_01,Syndicate - Top G,1.35,-2.6,ok,
VB03,VOX_ORD_COVER_01,Pauly - Brooklyn Wise Guy,1.49,-1.5,ok,
VB04,VOX_ORD_COVER_01,Dante - Dark Mafia,1.76,-1.5,ok,
VB05,VOX_ORD_COVER_01,David - Deep Southern,1.53,-2.2,ok,
VB06,VOX_ORD_COVER_01,Antonio - Grumpy Grandpa,1.49,-1.5,ok,
VB07,VOX_ORD_COVER_01,Jerry B. - NY Italian,1.39,-1.5,ok,
VB08,VOX_ORD_COVER_01,Austin - Deep Raspy,1.39,-1.5,ok,
VB01,VOX_ORD_COVER_02,Tony - Tough Cocky,1.35,-1.5,ok,
VB02,VOX_ORD_COVER_02,Syndicate - Top G,1.21,-1.5,ok,
VB03,VOX_ORD_COVER_02,Pauly - Brooklyn Wise Guy,1.76,-1.5,ok,
VB04,VOX_ORD_COVER_02,Dante - Dark Mafia,1.95,-1.6,ok,
VB05,VOX_ORD_COVER_02,David - Deep Southern,1.25,-2.5,ok,
VB06,VOX_ORD_COVER_02,Antonio - Grumpy Grandpa,1.63,-1.5,ok,
VB07,VOX_ORD_COVER_02,Jerry B. - NY Italian,1.25,-1.5,ok,
VB08,VOX_ORD_COVER_02,Austin - Deep Raspy,1.25,-1.5,ok,
VB01,VOX_ORD_COVER_03,Tony - Tough Cocky,1.30,-1.6,ok,
VB02,VOX_ORD_COVER_03,Syndicate - Top G,1.39,-1.5,ok,
VB03,VOX_ORD_COVER_03,Pauly - Brooklyn Wise Guy,1.53,-1.5,ok,
VB04,VOX_ORD_COVER_03,Dante - Dark Mafia,1.67,-1.5,ok,
VB05,VOX_ORD_COVER_03,David - Deep Southern,1.35,-2.3,ok,
VB06,VOX_ORD_COVER_03,Antonio - Grumpy Grandpa,1.44,-1.6,ok,
VB07,VOX_ORD_COVER_03,Jerry B. - NY Italian,1.25,-1.5,ok,
VB08,VOX_ORD_COVER_03,Austin - Deep Raspy,1.11,-2.2,ok,
VB01,VOX_ORD_KILL_01,Tony - Tough Cocky,1.35,-1.5,ok,
VB02,VOX_ORD_KILL_01,Syndicate - Top G,1.21,-1.9,ok,
VB03,VOX_ORD_KILL_01,Pauly - Brooklyn Wise Guy,1.49,-2.2,ok,
VB04,VOX_ORD_KILL_01,Dante - Dark Mafia,1.90,-1.5,ok,
VB05,VOX_ORD_KILL_01,David - Deep Southern,1.30,-3.0,ok,
VB06,VOX_ORD_KILL_01,Antonio - Grumpy Grandpa,1.58,-1.5,ok,
VB07,VOX_ORD_KILL_01,Jerry B. - NY Italian,1.39,-1.5,ok,
VB08,VOX_ORD_KILL_01,Austin - Deep Raspy,1.35,-1.5,ok,
VB02,VOX_ORD_KILL_02,Syndicate - Top G,1.07,-1.5,ok,
VB03,VOX_ORD_KILL_02,Pauly - Brooklyn Wise Guy,1.44,-2.0,ok,
VB04,VOX_ORD_KILL_02,Dante - Dark Mafia,1.07,-1.5,ok,
VB05,VOX_ORD_KILL_02,David - Deep Southern,1.11,-2.5,ok,
VB06,VOX_ORD_KILL_02,Antonio - Grumpy Grandpa,1.30,-1.8,ok,
VB07,VOX_ORD_KILL_02,Jerry B. - NY Italian,1.02,-1.6,ok,
VB08,VOX_ORD_KILL_02,Austin - Deep Raspy,1.07,-1.6,ok,
VB01,VOX_ORD_KILL_03,Tony - Tough Cocky,1.07,-1.6,ok,
VB02,VOX_ORD_KILL_03,Syndicate - Top G,0.88,-1.9,ok,
VB03,VOX_ORD_KILL_03,Pauly - Brooklyn Wise Guy,1.21,-1.7,ok,
VB04,VOX_ORD_KILL_03,Dante - Dark Mafia,1.25,-1.9,ok,
VB05,VOX_ORD_KILL_03,David - Deep Southern,1.11,-1.5,ok,
VB06,VOX_ORD_KILL_03,Antonio - Grumpy Grandpa,1.25,-1.5,ok,
VB07,VOX_ORD_KILL_03,Jerry B. - NY Italian,1.02,-1.6,ok,
VB08,VOX_ORD_KILL_03,Austin - Deep Raspy,1.02,-1.5,ok,
VB01,VOX_ORD_DRIVEBY_01,Tony - Tough Cocky,1.35,-1.5,ok,
VB02,VOX_ORD_DRIVEBY_01,Syndicate - Top G,1.11,-1.5,ok,
VB03,VOX_ORD_DRIVEBY_01,Pauly - Brooklyn Wise Guy,1.58,-1.5,ok,
VB04,VOX_ORD_DRIVEBY_01,Dante - Dark Mafia,1.49,-1.5,ok,
VB05,VOX_ORD_DRIVEBY_01,David - Deep Southern,1.30,-2.3,ok,
VB06,VOX_ORD_DRIVEBY_01,Antonio - Grumpy Grandpa,1.49,-1.5,ok,
VB07,VOX_ORD_DRIVEBY_01,Jerry B. - NY Italian,1.21,-1.5,ok,
VB08,VOX_ORD_DRIVEBY_01,Austin - Deep Raspy,1.35,-1.5,ok,
VB01,VOX_ORD_DRIVEBY_02,Tony - Tough Cocky,1.49,-1.6,ok,
VB02,VOX_ORD_DRIVEBY_02,Syndicate - Top G,1.76,-1.5,ok,
VB03,VOX_ORD_DRIVEBY_02,Pauly - Brooklyn Wise Guy,2.09,-2.7,ok,
VB04,VOX_ORD_DRIVEBY_02,Dante - Dark Mafia,2.18,-1.5,ok,
VB05,VOX_ORD_DRIVEBY_02,David - Deep Southern,1.76,-2.0,ok,
VB06,VOX_ORD_DRIVEBY_02,Antonio - Grumpy Grandpa,2.04,-1.5,ok,
VB07,VOX_ORD_DRIVEBY_02,Jerry B. - NY Italian,1.76,-1.5,ok,
VB08,VOX_ORD_DRIVEBY_02,Austin - Deep Raspy,1.67,-1.6,ok,
VB01,VOX_ORD_DRIVEBY_03,Tony - Tough Cocky,1.39,-1.5,ok,
VB02,VOX_ORD_DRIVEBY_03,Syndicate - Top G,1.63,-1.5,ok,
VB03,VOX_ORD_DRIVEBY_03,Pauly - Brooklyn Wise Guy,1.86,-1.5,ok,
VB04,VOX_ORD_DRIVEBY_03,Dante - Dark Mafia,2.04,-1.5,ok,
VB05,VOX_ORD_DRIVEBY_03,David - Deep Southern,1.44,-2.6,ok,
VB06,VOX_ORD_DRIVEBY_03,Antonio - Grumpy Grandpa,1.58,-1.5,ok,
VB07,VOX_ORD_DRIVEBY_03,Jerry B. - NY Italian,1.44,-1.5,ok,
VB08,VOX_ORD_DRIVEBY_03,Austin - Deep Raspy,1.44,-1.5,ok,
VB01,VOX_ORD_GRENADE_01,Tony - Tough Cocky,1.16,-1.6,ok,
VB02,VOX_ORD_GRENADE_01,Syndicate - Top G,1.16,-1.5,ok,
VB03,VOX_ORD_GRENADE_01,Pauly - Brooklyn Wise Guy,1.35,-1.5,ok,
VB04,VOX_ORD_GRENADE_01,Dante - Dark Mafia,1.49,-1.5,ok,
VB05,VOX_ORD_GRENADE_01,David - Deep Southern,1.11,-6.2,ok,
VB06,VOX_ORD_GRENADE_01,Antonio - Grumpy Grandpa,1.25,-5.6,ok,
VB07,VOX_ORD_GRENADE_01,Jerry B. - NY Italian,1.11,-2.7,ok,
VB08,VOX_ORD_GRENADE_01,Austin - Deep Raspy,1.11,-4.0,ok,
VB01,VOX_ORD_GRENADE_02,Tony - Tough Cocky,0.98,-1.5,ok,
VB02,VOX_ORD_GRENADE_02,Syndicate - Top G,1.07,-1.5,ok,
VB03,VOX_ORD_GRENADE_02,Pauly - Brooklyn Wise Guy,1.44,-2.1,ok,
VB04,VOX_ORD_GRENADE_02,Dante - Dark Mafia,1.63,-2.7,ok,
VB05,VOX_ORD_GRENADE_02,David - Deep Southern,1.21,-7.1,ok,
VB06,VOX_ORD_GRENADE_02,Antonio - Grumpy Grandpa,1.11,-1.5,ok,
VB07,VOX_ORD_GRENADE_02,Jerry B. - NY Italian,0.93,-1.5,ok,
VB08,VOX_ORD_GRENADE_02,Austin - Deep Raspy,1.30,-1.5,ok,
VB01,VOX_ORD_GRENADE_03,Tony - Tough Cocky,1.02,-1.7,ok,
VB02,VOX_ORD_GRENADE_03,Syndicate - Top G,0.88,-2.6,ok,
VB03,VOX_ORD_GRENADE_03,Pauly - Brooklyn Wise Guy,1.21,-3.2,ok,
VB04,VOX_ORD_GRENADE_03,Dante - Dark Mafia,1.21,-1.5,ok,
VB05,VOX_ORD_GRENADE_03,David - Deep Southern,0.98,-1.5,ok,
VB06,VOX_ORD_GRENADE_03,Antonio - Grumpy Grandpa,1.21,-1.5,ok,
VB07,VOX_ORD_GRENADE_03,Jerry B. - NY Italian,0.93,-1.5,ok,
VB08,VOX_ORD_GRENADE_03,Austin - Deep Raspy,0.98,-1.5,ok,
VB01,VOX_ORD_DOORBOMB_01,Tony - Tough Cocky,1.16,-1.5,ok,
VB02,VOX_ORD_DOORBOMB_01,Syndicate - Top G,0.74,-1.5,ok,
VB03,VOX_ORD_DOORBOMB_01,Pauly - Brooklyn Wise Guy,1.25,-2.0,ok,
VB04,VOX_ORD_DOORBOMB_01,Dante - Dark Mafia,1.11,-1.5,ok,
VB05,VOX_ORD_DOORBOMB_01,David - Deep Southern,1.07,-2.7,ok,
VB06,VOX_ORD_DOORBOMB_01,Antonio - Grumpy Grandpa,1.02,-1.5,ok,
VB07,VOX_ORD_DOORBOMB_01,Jerry B. - NY Italian,1.02,-1.6,ok,
VB08,VOX_ORD_DOORBOMB_01,Austin - Deep Raspy,0.98,-1.5,ok,
VB01,VOX_ORD_DOORBOMB_02,Tony - Tough Cocky,1.44,-1.5,ok,
VB02,VOX_ORD_DOORBOMB_02,Syndicate - Top G,1.39,-1.7,ok,
VB03,VOX_ORD_DOORBOMB_02,Pauly - Brooklyn Wise Guy,1.58,-2.6,ok,
VB04,VOX_ORD_DOORBOMB_02,Dante - Dark Mafia,1.76,-1.5,ok,
VB05,VOX_ORD_DOORBOMB_02,David - Deep Southern,1.25,-2.8,ok,
VB06,VOX_ORD_DOORBOMB_02,Antonio - Grumpy Grandpa,1.30,-2.5,ok,
VB07,VOX_ORD_DOORBOMB_02,Jerry B. - NY Italian,1.35,-1.5,ok,
VB08,VOX_ORD_DOORBOMB_02,Austin - Deep Raspy,1.58,-1.6,ok,
VB01,VOX_ORD_CARBOMB_01,Tony - Tough Cocky,1.53,-1.5,ok,
VB02,VOX_ORD_CARBOMB_01,Syndicate - Top G,1.63,-1.6,ok,
VB03,VOX_ORD_CARBOMB_01,Pauly - Brooklyn Wise Guy,1.95,-1.6,ok,
VB04,VOX_ORD_CARBOMB_01,Dante - Dark Mafia,1.90,-1.5,ok,
VB05,VOX_ORD_CARBOMB_01,David - Deep Southern,1.72,-3.5,ok,
VB06,VOX_ORD_CARBOMB_01,Antonio - Grumpy Grandpa,1.81,-1.5,ok,
VB07,VOX_ORD_CARBOMB_01,Jerry B. - NY Italian,1.49,-1.5,ok,
VB08,VOX_ORD_CARBOMB_01,Austin - Deep Raspy,1.63,-1.5,ok,
VB01,VOX_ORD_CARBOMB_02,Tony - Tough Cocky,1.58,-1.5,ok,
VB02,VOX_ORD_CARBOMB_02,Syndicate - Top G,1.86,-1.6,ok,
VB03,VOX_ORD_CARBOMB_02,Pauly - Brooklyn Wise Guy,2.00,-1.6,ok,
VB04,VOX_ORD_CARBOMB_02,Dante - Dark Mafia,2.00,-1.5,ok,
VB05,VOX_ORD_CARBOMB_02,David - Deep Southern,1.53,-2.9,ok,
VB06,VOX_ORD_CARBOMB_02,Antonio - Grumpy Grandpa,1.90,-1.5,ok,
VB07,VOX_ORD_CARBOMB_02,Jerry B. - NY Italian,1.49,-1.6,ok,
VB08,VOX_ORD_CARBOMB_02,Austin - Deep Raspy,1.49,-1.5,ok,
VB01,VOX_ORD_CARBOMB_03,Tony - Tough Cocky,2.09,-1.5,ok,
VB02,VOX_ORD_CARBOMB_03,Syndicate - Top G,1.81,-2.1,ok,
VB03,VOX_ORD_CARBOMB_03,Pauly - Brooklyn Wise Guy,2.46,-2.8,ok,
VB04,VOX_ORD_CARBOMB_03,Dante - Dark Mafia,2.32,-1.5,ok,
VB05,VOX_ORD_CARBOMB_03,David - Deep Southern,2.04,-1.5,ok,
VB06,VOX_ORD_CARBOMB_03,Antonio - Grumpy Grandpa,2.14,-1.5,ok,
VB07,VOX_ORD_CARBOMB_03,Jerry B. - NY Italian,2.14,-1.5,ok,
VB08,VOX_ORD_CARBOMB_03,Austin - Deep Raspy,1.95,-1.6,ok,
VB01,VOX_ORD_SHOOTCAR_01,Tony - Tough Cocky,1.44,-1.5,ok,
VB02,VOX_ORD_SHOOTCAR_01,Syndicate - Top G,1.39,-1.5,ok,
VB03,VOX_ORD_SHOOTCAR_01,Pauly - Brooklyn Wise Guy,1.58,-3.1,ok,
VB04,VOX_ORD_SHOOTCAR_01,Dante - Dark Mafia,1.90,-1.5,ok,
VB05,VOX_ORD_SHOOTCAR_01,David - Deep Southern,1.44,-2.8,ok,
VB06,VOX_ORD_SHOOTCAR_01,Antonio - Grumpy Grandpa,1.58,-1.5,ok,
VB07,VOX_ORD_SHOOTCAR_01,Jerry B. - NY Italian,1.30,-1.5,ok,
VB08,VOX_ORD_SHOOTCAR_01,Austin - Deep Raspy,1.49,-1.5,ok,
VB01,VOX_ORD_SHOOTCAR_02,Tony - Tough Cocky,1.44,-1.6,ok,
VB02,VOX_ORD_SHOOTCAR_02,Syndicate - Top G,1.49,-2.2,ok,
VB03,VOX_ORD_SHOOTCAR_02,Pauly - Brooklyn Wise Guy,1.81,-1.7,ok,
VB04,VOX_ORD_SHOOTCAR_02,Dante - Dark Mafia,1.81,-1.5,ok,
VB05,VOX_ORD_SHOOTCAR_02,David - Deep Southern,1.53,-1.8,ok,
VB06,VOX_ORD_SHOOTCAR_02,Antonio - Grumpy Grandpa,1.58,-1.5,ok,
VB07,VOX_ORD_SHOOTCAR_02,Jerry B. - NY Italian,1.44,-1.5,ok,
VB08,VOX_ORD_SHOOTCAR_02,Austin - Deep Raspy,1.49,-1.6,ok,
VB01,VOX_ORD_BOARD_01,Tony - Tough Cocky,1.21,-1.6,ok,
VB02,VOX_ORD_BOARD_01,Syndicate - Top G,1.30,-1.5,ok,
VB03,VOX_ORD_BOARD_01,Pauly - Brooklyn Wise Guy,1.49,-1.5,ok,
VB04,VOX_ORD_BOARD_01,Dante - Dark Mafia,1.76,-1.5,ok,
VB05,VOX_ORD_BOARD_01,David - Deep Southern,1.44,-1.9,ok,
VB06,VOX_ORD_BOARD_01,Antonio - Grumpy Grandpa,1.44,-1.5,ok,
VB07,VOX_ORD_BOARD_01,Jerry B. - NY Italian,1.25,-1.5,ok,
VB08,VOX_ORD_BOARD_01,Austin - Deep Raspy,1.39,-1.5,ok,
VB01,VOX_ORD_BOARD_02,Tony - Tough Cocky,1.16,-1.5,ok,
VB02,VOX_ORD_BOARD_02,Syndicate - Top G,0.98,-1.5,ok,
VB03,VOX_ORD_BOARD_02,Pauly - Brooklyn Wise Guy,1.67,-1.6,ok,
VB04,VOX_ORD_BOARD_02,Dante - Dark Mafia,1.30,-1.5,ok,
VB05,VOX_ORD_BOARD_02,David - Deep Southern,1.11,-2.7,ok,
